GEOID,total,over_200,percent
53061041601,1930,61,3.16062176165803
53061041605,2063,48,2.32670867668444
53061041606,1917,39,2.03442879499218
53061041607,1223,129,10.5478331970564
53061041608,2173,97,4.46387482742752
53061041701,1948,14,0.718685831622177
53061041703,1759,158,8.98237635019898
53061041704,2085,156,7.48201438848921
53061041805,2267,39,1.72033524481694
53061041806,2818,38,1.34847409510291
53061041808,1607,0,0
53061041809,2053,38,1.85094982951778
53061041810,2288,0,0
53061041811,2366,9,0.380388841927303
53061041812,2298,57,2.48041775456919
53061041901,1410,63,4.46808510638298
53061041903,2901,12,0.413650465356774
53061041904,2212,12,0.54249547920434
53061041905,2295,26,1.13289760348584
53061042001,2157,381,17.663421418637
53061042003,1155,67,5.8008658008658
53061042004,1534,47,3.0638852672751
53061042005,1808,273,15.0995575221239
53061042006,2028,62,3.05719921104536
53061050101,951,55,5.78338590956888
53061050102,2175,53,2.4367816091954
53061050200,1545,277,17.9288025889968
53061050300,2043,288,14.0969162995595
53061050401,3013,237,7.86591437105874
53061050402,2319,106,4.57093574816731
53061050500,3420,325,9.50292397660819
53061050600,423,148,34.9881796690307
53061050700,2640,128,4.84848484848485
53061050800,2533,92,3.63205684958547
53061050900,1458,12,0.823045267489712
53061051000,1984,22,1.10887096774194
53061051100,1556,8,0.51413881748072
53061051200,1729,7,0.404858299595142
53061051300,2774,34,1.22566690699351
53061051400,3100,18,0.580645161290323
53061051500,2392,50,2.09030100334448
53061051601,1651,35,2.11992731677771
53061051602,1626,25,1.53751537515375
53061051701,2461,0,0
53061051702,1657,60,3.62100181050091
53061051802,1993,67,3.36176618163573
53061051803,2490,15,0.602409638554217
53061051804,1365,20,1.46520146520147
53061051905,3131,143,4.56723091664005
53061051912,832,119,14.3028846153846
53061051913,1389,93,6.69546436285097
53061051914,1323,102,7.70975056689342
53061051915,2396,69,2.87979966611018
53061051916,1404,69,4.91452991452991
53061051917,1574,94,5.9720457433291
53061051918,1988,121,6.08651911468813
53061051921,1563,23,1.47152911068458
53061051922,1497,61,4.0748162992652
